"entity","year","solar_capacity","projected"
"World",2000,0.4235994,"Actual"
"World",2001,0.808669,"Actual"
"World",2002,1.092986,"Actual"
"World",2003,1.437059,"Actual"
"World",2004,1.96503,"Actual"
"World",2005,3.051979,"Actual"
"World",2006,4.548119,"Actual"
"World",2007,6.093193,"Actual"
"World",2008,8.506466,"Actual"
"World",2009,14.729541,"Actual"
"World",2010,22.844467,"Actual"
"World",2011,40.33781,"Actual"
"World",2012,72.21597,"Actual"
"World",2013,101.74533,"Actual"
"World",2014,137.22697,"Actual"
"World",2015,175.61717,"Actual"
"World",2016,223.2036,"Actual"
"World",2017,295.2289,"Actual"
"World",2018,390.20653,"Actual"
"World",2019,483.0118,"Actual"
"World",2020,584.6857,"Actual"
"World",2021,710.2811,"Actual"
"World",2022,843.08606,"Actual"
"World",2023,1177,"Projected"
"World",2024,1518,"Projected"
"World",2025,1919,"Projected"
"World",2026,2381,"Projected"
"World",2027,2915,"Projected"
"World",2028,3532,"Projected"
